"Code","SPYGEN_code","Date","Country","Region","Site","Replicate","Protection","Time_start","Time_finish","duration","center_lon","center_lat","least_dist_reserve","temp","filter","envPC1","envPC2","envPC3","envPC4"
"CV1_1","SPY181147","19/05/2018","France","Calvi",1,1,"reserve","09:30","09:59","00:29",8.71857,42.5811,0,18,0.2,0.524739392630444,3.62463061394465,-0.4726844571383,1.37002343929042
"CV1_2","SPY181160","19/05/2018","France","Calvi",1,2,"reserve","09:30","09:59","00:29",8.71857,42.5811,0,18,0.2,0.632354307474505,3.66202185125872,-0.413258561833017,1.35657861356082
"CV1_3","SPY181150","19/05/2018","France","Calvi",1,3,"reserve","10:22","10:52","00:30",8.71857,42.5811,0,18,0.2,1.08499036021741,3.84287215567118,-0.113828756781344,1.23961025926771
"CV1_4","SPY181149","19/05/2018","France","Calvi",1,4,"reserve","10:22","10:52","00:30",8.71857,42.5811,0,18,0.2,0.970721289493376,3.79958644664876,-0.179012876695274,1.25279563143567
"CV2_1","SPY181152","20/05/2018","France","Calvi",2,1,"outside5","09:42","10:12","00:30",8.804,42.58901,6.5,18,0.2,-1.48797847253402,1.03750906053616,0.890323650892368,-0.0683284120556924
"CV2_2","SPY181154","20/05/2018","France","Calvi",2,2,"outside5","09:42","10:12","00:30",8.804,42.58901,6.5,18,0.2,-1.55858459614392,0.999248634987467,0.839700013716821,-0.0652078367393782
"CV2_3","SPY181158","20/05/2018","France","Calvi",2,3,"outside5","10:32","11:02","00:30",8.804,42.58901,6.5,18,0.2,-1.7180283374679,1.02317200917589,0.703160894398324,0.0119087148048673
"CV2_4","SPY180932","20/05/2018","France","Calvi",2,4,"outside5","10:32","11:02","00:30",8.804,42.58901,6.5,18,0.2,-1.81208490878233,0.95833202294791,0.636465925703051,-0.00702560247008251
"CV3_1","SPY181157","19/05/2018","France","Calvi",3,1,"outside10","16:29","16:59","00:30",8.85263,42.61268,10.8,18,0.2,-1.61250768971132,1.2214058310545,0.795153401715544,0.267430503816691
"CV3_2","SPY181156","19/05/2018","France","Calvi",3,2,"outside10","16:29","16:59","00:30",8.85263,42.61268,10.8,18,0.2,-1.6928753507274,1.14982977008632,0.745267126336751,0.261401066975999
"CV3_3","SPY181148","19/05/2018","France","Calvi",3,3,"outside10","17:16","17:46","00:30",8.85263,42.61268,10.8,18,0.2,-1.87283375213198,1.085904312057,0.595736681178043,0.252898734335719
"CV3_4","SPY181159","19/05/2018","France","Calvi",3,4,"outside10","17:16","17:46","00:30",8.85263,42.61268,10.8,18,0.2,-1.96212274296633,0.961232131800339,0.541726479032259,0.231688725162339
"CR1_1","SPY181713","05/06/2018","France","Carry-le-Rouet",1,1,"reserve","14:27","14:57","00:30",5.16266,43.32662,0,19,0.2,-0.868654495946639,-1.74417041618825,0.149452513045809,2.50229388557882
"CR1_2","SPY181702","05/06/2018","France","Carry-le-Rouet",1,2,"reserve","14:27","14:57","00:30",5.16266,43.32662,0,19,0.2,-0.876609014645051,-1.74822796604232,0.143074287725376,2.50305952817264
"CR1_3","SPY181705","05/06/2018","France","Carry-le-Rouet",1,3,"reserve","15:15","15:45","00:30",5.16266,43.32662,0,19,0.2,-0.957113539802467,-1.81563467408825,0.0880881367837192,2.46944694080744
"CR1_4","SPY181707","05/06/2018","France","Carry-le-Rouet",1,4,"reserve","15:15","15:45","00:30",5.16266,43.32662,0,19,0.2,-0.947036413064863,-1.80747559340156,0.0887839114165492,2.47187441639118
"CR2_1","SPY181709","05/06/2018","France","Carry-le-Rouet",2,1,"outside5","12:30","13:01","00:31",5.23616,43.33037,5.4,19,0.2,2.29632470502596,-0.477517552613242,-3.75584174615535,1.28598714041073
"CR2_2","SPY181712","05/06/2018","France","Carry-le-Rouet",2,2,"outside5","12:30","13:01","00:31",5.23616,43.33037,5.4,19,0.2,1.88788541484192,-0.340230735825441,-3.92743807981461,1.09583849949754
"CR2_3","SPY181714","05/06/2018","France","Carry-le-Rouet",2,3,"outside5","13:18","13:48","00:30",5.23616,43.33037,5.4,19,0.2,1.85486341145761,-0.307288988324171,-3.82117954722997,1.11966720894567
"CR2_4","SPY181711","05/06/2018","France","Carry-le-Rouet",2,4,"outside5","13:18","13:48","00:30",5.23616,43.33037,5.4,19,0.2,2.13358958836117,-0.496091325806904,-3.73937020603273,1.31925413183032
"CR3_1","SPY181710","05/06/2018","France","Carry-le-Rouet",3,1,"outside10","10:40","11:10","00:30",5.28166,43.3526,10,19,0.2,-0.890662263827349,-0.936783506624637,-1.18968875314918,1.6706179715398
"CR3_2","SPY181704","05/06/2018","France","Carry-le-Rouet",3,2,"outside10","10:40","11:10","00:30",5.28166,43.3526,10,19,0.2,-0.9682360078347,-0.971989117373074,-1.23135384224778,1.68546406005257
"CR3_3","SPY181706","05/06/2018","France","Carry-le-Rouet",3,3,"outside10","11:30","12:03","00:33",5.28166,43.3526,10,19,0.2,-1.01615752979128,-0.986779133191714,-1.15429862741386,1.70287052038279
"CR3_4","SPY181703","05/06/2018","France","Carry-le-Rouet",3,4,"outside10","11:30","12:03","00:33",5.28166,43.3526,10,19,0.2,-1.0464333777531,-1.00301957077576,-1.17428162457179,1.70552635376383
"PQ1_1","SPY181818","15/06/2018","France","Porquerolles",1,1,"reserve","10:51","11:22","00:31",6.23878,42.9956,0,21,0.2,-1.21119737774033,0.202793065068456,0.0428886719535778,-1.24218817070485
